Global_Time,Frame_ID,Total_Frame,Vehicle_ID,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,Valid,Local_X_Ego,Local_Y_Ego,Lane_Change,Cut_In
1226390219100,10927,3858,3860,9.177999999999999,20.590999999999998,4431417.157,465463.256,4.9,1.3,2,3.116,0.0,2.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,138.487,-3.386,1,2
1226390219200,10940,3942,4880,4.413,2.923,4431388.326,465495.56700000004,3.909,1.3419999999999999,2,5.381,-10.625,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,93.844,1.347,3,1
1226390219200,10940,3858,3860,9.187999999999999,21.635,4431418.222,465461.633,4.9,1.284,2,3.136,-3.5,2.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,138.82299999999998,-3.428,1,2
1226390219300,10953,3942,4880,4.648,3.8369999999999997,4431389.695,465493.951,3.909,1.319,2,5.421,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,94.352,1.075,3,1
1226390219300,10953,3858,3860,9.487,22.421999999999997,4431419.487,465460.20200000005,4.9,1.274,2,3.315,0.0,2.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,139.115,-3.764,1,2
1226390219400,10966,3942,4880,4.898,4.716,4431391.08,465492.365,3.909,1.319,2,5.449,-2.75,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,94.855,0.778,3,1
1226390219400,10966,3858,3860,10.124,22.886,4431421.038,465458.99700000003,4.9,1.261,2,3.885,16.25,2.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,139.4,-4.448,1,2
1226390219510,10977,3942,4880,5.001,5.709,4431392.408,465490.68100000004,3.909,1.319,2,5.257999999999999,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,95.39200000000001,0.6609999999999999,3,1
1226390219510,10977,3858,3860,10.472000000000001,23.55,4431422.433,465457.643,4.9,1.254,2,3.742,0.0,2.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,139.705,-4.81,1,2
1226390219510,10977,4225,1441,2.9789999999999996,0.363,4431382.728,465500.88700000005,4.29,1.121,2,6.421,0.0,0.0,,,,10.0,1,1.0,0,6934,0.0,0.0,sunhe_t3,True,81.47,2.6830000000000003,1,1
1226390219610,10988,3942,4880,5.032,6.779,4431393.59,465488.977,3.909,1.319,2,4.9719999999999995,-4.059,1.0,,,,10.0,1,1.0,0,6934,0.0,0.0,sunhe_t3,True,95.855,0.725,3,1
1226390219610,10988,4225,1441,3.241,1.3219999999999998,4431384.183999999,465499.18200000003,4.29,1.121,2,6.421,0.0,0.0,,,,10.0,1,1.0,0,4338,0.0,0.0,sunhe_t3,True,82.09,2.516,1,1
1226390219710,10997,3942,4880,4.854,7.836,4431394.7930000005,465487.278,3.909,1.319,2,4.88,0.0,1.0,,,,10.0,1,2.0,0,0,0.0,0.0,sunhe_t3,True,96.322,0.773,3,1
1226390219710,10997,4225,1441,3.278,2.278,4431385.643999999,465497.47799999994,4.29,1.121,2,6.421,0.0,0.0,,,,10.0,1,1.0,0,6934,0.0,0.0,sunhe_t3,True,82.71,2.349,1,1
1226390219810,11005,3942,4880,4.668,8.89,4431396.0,465485.581,3.909,1.319,2,4.845,-0.889,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,96.788,0.841,3,1
1226390219810,11005,4225,1441,3.327,3.218,4431387.125,465495.783,4.29,1.121,2,6.421,0.0,0.0,,,,10.0,1,1.0,0,6934,0.0,0.0,sunhe_t3,True,83.33,2.182,1,1
1226390219900,11013,3942,4880,4.61,9.877,4431397.217,465483.953,3.909,1.319,2,4.771,-2.571,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,97.199,0.883,3,1
1226390220010,11022,3942,4880,4.474,10.895,4431398.495,465482.263,3.909,1.319,2,4.68,-2.667,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,97.699,0.898,3,1
1226390220110,11030,3942,4880,4.49,11.870999999999999,4431399.785,465480.614,3.909,1.319,2,4.711,1.6669999999999998,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,98.164,0.9259999999999999,3,1
1226390220210,11038,3942,4880,4.459,12.838,4431401.0819999995,465478.972,3.909,1.319,2,4.668,-2.588,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,98.62200000000001,0.9590000000000001,3,1
1226390220310,11046,3942,4880,4.474,13.753,4431402.421,465477.367,3.909,1.319,2,4.622,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,99.075,0.961,3,1
1226390220410,11054,3942,4880,4.3069999999999995,14.773,4431403.657,465475.69399999996,3.909,1.2990000000000002,2,4.609,0.889,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,99.522,1.1,3,1
1226390220510,11062,3942,4880,4.086,15.864,4431404.838,465473.968,3.909,1.262,2,4.7219999999999995,1.8,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,99.973,1.3430000000000002,3,1
1226390220610,11070,3942,4880,3.928,16.854,4431406.106000001,465472.314,3.909,1.262,2,4.79,0.0,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,100.427,1.486,3,1
1226390220710,11078,3942,4880,3.923,17.73,4431407.471,465470.74100000004,3.909,1.262,2,4.59,-4.888999999999999,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,100.86,1.5090000000000001,3,1
1226390220800,11086,3942,4880,3.918,18.592,4431408.822,465469.189,3.909,1.262,2,4.538,-5.4,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,101.264,1.528,3,1
1226390220900,11099,1174,242,3.37,0.081,4431385.876,465499.783,0.2,0.2,2,4.599,-2.875,0.0,,,,10.0,1,1.0,0,6934,0.0,0.0,sunhe_t3,True,61.367,2.082,1,1
1226390220900,11099,3942,4880,3.8939999999999997,19.463,4431410.192,465467.619,3.909,1.245,2,4.448,-8.625,1.0,,,,10.0,1,1.0,0,0,0.0,0.0,sunhe_t3,True,101.69200000000001,1.558,3,1
1226390221000,11111,1174,242,3.2319999999999998,1.105,4431387.13,465498.097,0.2,0.2,2,4.618,0.0,0.0,,,,10.0,1,1.0,4880,6934,-0.465,-0.10099999999999999,sunhe_t3,True,61.815,2.202,1,1
1226390221000,11111,3942,4880,3.697,20.454,4431411.4569999995,465465.965,3.909,1.229,2,4.502,0.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,102.12200000000001,1.7369999999999999,3,1
1226390221100,11123,1174,242,3.003,2.411,4431388.516,465496.04299999995,0.2,0.2,2,5.644,5.875,0.0,,,,10.0,1,1.0,4880,6934,-0.47200000000000003,-0.084,sunhe_t3,True,62.63399999999999,2.4290000000000003,1,1
1226390221100,11123,3942,4880,3.475,21.506,4431412.69,465464.258,3.909,1.198,2,4.548,7.0,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,102.572,1.9569999999999999,3,1
1226390221200,11136,1174,242,2.968,3.3989999999999996,4431389.904,465494.33700000006,0.2,0.2,2,5.48,-23.8,0.0,,,,10.0,1,1.0,4880,6934,-0.198,-0.036000000000000004,sunhe_t3,True,63.175,2.455,1,1
1226390221200,11136,3942,4880,3.167,22.621,4431413.858,465462.511,3.909,1.198,2,4.654,21.6,0.0,,,,10.0,1,1.0,0,242,0.0,0.0,sunhe_t3,True,103.015,2.256,3,1
1226390221310,11149,1174,242,2.968,4.372,4431391.296,465492.645,0.2,0.2,2,5.547000000000001,0.0,0.0,,,,10.0,1,1.0,4880,6934,-0.038,-0.006999999999999999,sunhe_t3,True,63.699,2.459,1,1
